Model Adı,Sıra,Açıklama,Puan
tfidf_lemmatized,1,declaration independence united state america...,
tfidf_lemmatized,2,declaration independence united state america...,
tfidf_lemmatized,3,united state declaration independence...,
tfidf_lemmatized,4,declaration independence address...,
tfidf_lemmatized,5,united state america part...,
tfidf_stemmed,1,declar independ unit state america...,
tfidf_stemmed,2,declar independ unit state america...,
tfidf_stemmed,3,unit state declar independ...,
tfidf_stemmed,4,declar independ address...,
tfidf_stemmed,5,unit state america part...,
word2vec_lemmatized_cbow_win2_dim100,1,declaration independence united state america...,
word2vec_lemmatized_cbow_win2_dim100,2,declaration independence united state america...,
word2vec_lemmatized_cbow_win2_dim100,3,united state latin america...,
word2vec_lemmatized_cbow_win2_dim100,4,constitution united state america...,
word2vec_lemmatized_cbow_win2_dim100,5,training teacher united state america...,
word2vec_lemmatized_cbow_win2_dim300,1,declaration independence united state america...,
word2vec_lemmatized_cbow_win2_dim300,2,declaration independence united state america...,
word2vec_lemmatized_cbow_win2_dim300,3,united state latin america...,
word2vec_lemmatized_cbow_win2_dim300,4,constitution united state america...,
word2vec_lemmatized_cbow_win2_dim300,5,training teacher united state america...,
word2vec_lemmatized_cbow_win4_dim100,1,declaration independence united state america...,
word2vec_lemmatized_cbow_win4_dim100,2,declaration independence united state america...,
word2vec_lemmatized_cbow_win4_dim100,3,united state latin america...,
word2vec_lemmatized_cbow_win4_dim100,4,constitution united state america...,
word2vec_lemmatized_cbow_win4_dim100,5,training teacher united state america...,
word2vec_lemmatized_cbow_win4_dim300,1,declaration independence united state america...,
word2vec_lemmatized_cbow_win4_dim300,2,declaration independence united state america...,
word2vec_lemmatized_cbow_win4_dim300,3,united state latin america...,
word2vec_lemmatized_cbow_win4_dim300,4,constitution united state america...,
word2vec_lemmatized_cbow_win4_dim300,5,training teacher united state america...,
word2vec_lemmatized_skipgram_win2_dim100,1,declaration independence united state america...,
word2vec_lemmatized_skipgram_win2_dim100,2,declaration independence united state america...,
word2vec_lemmatized_skipgram_win2_dim100,3,united state latin america...,
word2vec_lemmatized_skipgram_win2_dim100,4,constitution united state america...,
word2vec_lemmatized_skipgram_win2_dim100,5,suppression african slave trade united state ameri...,
word2vec_lemmatized_skipgram_win2_dim300,1,declaration independence united state america...,
word2vec_lemmatized_skipgram_win2_dim300,2,declaration independence united state america...,
word2vec_lemmatized_skipgram_win2_dim300,3,united state latin america...,
word2vec_lemmatized_skipgram_win2_dim300,4,constitution united state america...,
word2vec_lemmatized_skipgram_win2_dim300,5,latin america united state address elihu root...,
word2vec_lemmatized_skipgram_win4_dim100,1,declaration independence united state america...,
word2vec_lemmatized_skipgram_win4_dim100,2,declaration independence united state america...,
word2vec_lemmatized_skipgram_win4_dim100,3,suppression african slave trade united state ameri...,
word2vec_lemmatized_skipgram_win4_dim100,4,constitution united state america...,
word2vec_lemmatized_skipgram_win4_dim100,5,united state latin america...,
word2vec_lemmatized_skipgram_win4_dim300,1,declaration independence united state america...,
word2vec_lemmatized_skipgram_win4_dim300,2,declaration independence united state america...,
word2vec_lemmatized_skipgram_win4_dim300,3,constitution united state america...,
word2vec_lemmatized_skipgram_win4_dim300,4,united state latin america...,
word2vec_lemmatized_skipgram_win4_dim300,5,suppression african slave trade united state ameri...,
word2vec_stemmed_cbow_win2_dim100,1,declar independ unit state america...,
word2vec_stemmed_cbow_win2_dim100,2,declar independ unit state america...,
word2vec_stemmed_cbow_win2_dim100,3,unit state latin america...,
word2vec_stemmed_cbow_win2_dim100,4,constitut unit state america...,
word2vec_stemmed_cbow_win2_dim100,5,train teacher unit state america...,
word2vec_stemmed_cbow_win2_dim300,1,declar independ unit state america...,
word2vec_stemmed_cbow_win2_dim300,2,declar independ unit state america...,
word2vec_stemmed_cbow_win2_dim300,3,unit state latin america...,
word2vec_stemmed_cbow_win2_dim300,4,constitut unit state america...,
word2vec_stemmed_cbow_win2_dim300,5,train teacher unit state america...,
word2vec_stemmed_cbow_win4_dim100,1,declar independ unit state america...,
word2vec_stemmed_cbow_win4_dim100,2,declar independ unit state america...,
word2vec_stemmed_cbow_win4_dim100,3,unit state latin america...,
word2vec_stemmed_cbow_win4_dim100,4,constitut unit state america...,
word2vec_stemmed_cbow_win4_dim100,5,train teacher unit state america...,
word2vec_stemmed_cbow_win4_dim300,1,declar independ unit state america...,
word2vec_stemmed_cbow_win4_dim300,2,declar independ unit state america...,
word2vec_stemmed_cbow_win4_dim300,3,unit state latin america...,
word2vec_stemmed_cbow_win4_dim300,4,constitut unit state america...,
word2vec_stemmed_cbow_win4_dim300,5,train teacher unit state america...,
word2vec_stemmed_skipgram_win2_dim100,1,declar independ unit state america...,
word2vec_stemmed_skipgram_win2_dim100,2,declar independ unit state america...,
word2vec_stemmed_skipgram_win2_dim100,3,constitut unit state america...,
word2vec_stemmed_skipgram_win2_dim100,4,unit state latin america...,
word2vec_stemmed_skipgram_win2_dim100,5,copyright law unit state america contain titl unit...,
word2vec_stemmed_skipgram_win2_dim300,1,declar independ unit state america...,
word2vec_stemmed_skipgram_win2_dim300,2,declar independ unit state america...,
word2vec_stemmed_skipgram_win2_dim300,3,unit state latin america...,
word2vec_stemmed_skipgram_win2_dim300,4,constitut unit state america...,
word2vec_stemmed_skipgram_win2_dim300,5,unit state declar independ...,
word2vec_stemmed_skipgram_win4_dim100,1,declar independ unit state america...,
word2vec_stemmed_skipgram_win4_dim100,2,declar independ unit state america...,
word2vec_stemmed_skipgram_win4_dim100,3,constitut unit state america...,
word2vec_stemmed_skipgram_win4_dim100,4,suppress african slave trade unit state america...,
word2vec_stemmed_skipgram_win4_dim100,5,unit state latin america...,
word2vec_stemmed_skipgram_win4_dim300,1,declar independ unit state america...,
word2vec_stemmed_skipgram_win4_dim300,2,declar independ unit state america...,
word2vec_stemmed_skipgram_win4_dim300,3,constitut unit state america...,
word2vec_stemmed_skipgram_win4_dim300,4,unit state latin america...,
word2vec_stemmed_skipgram_win4_dim300,5,unit state declar independ...,
